file,ticid,sector,cadence,best_period_days,max_power,amplitude_percent,peak1_period,peak2_period,peak3_period,peak4_period,peak5_period,peak1_power,peak2_power,peak3_power,peak4_power,peak5_power,power_pass,ref_period,period_agree,power_and_agree,double_dipper,true_period_d
tess2020266004630-s0030-0000000178155732-0195-s_lc.fits,178155732,30,slow,3.615706365652323,0.024632108551114,0.04491091,3.615706365652323,6.274345762116209,4.671396450072042,9.55204870777472,1.9276444846023109,0.024632108551114,0.0126785002958598,0.0104021075359366,0.0099204721878516,0.0088566671869868,False,3.0884874267745084,False,False,True,6.274345762116209
tess2020266004630-s0030-0000000207110080-0195-s_lc.fits,207110080,30,slow,2.98997095570284,0.0022816606038731,0.42545319,2.98997095570284,0.2966335883860377,3.563331183356014,4.563433010922282,0.3842644022293877,0.0022816606038731,0.002147930738476,0.0019615223300995,0.0014501944792572,0.001376166847717,False,1.324557101707283,False,False,False,2.98997095570284
tess2020294194027-s0031-0000000004646810-0198-s_lc.fits,4646810,31,slow,11.19500234311296,0.0731814862356633,0.16798198,11.19500234311296,5.686928860773564,4.3309235056384,3.7006443771215833,3.150460674516225,0.0731814862356633,0.041761279852601,0.0289390410649501,0.0098699190860649,0.0068416794035255,True,11.229881596093149,True,True,False,11.19500234311296
tess2020294194027-s0031-0000000004672985-0198-a_fast-lc.fits,4672985,31,fast,7.325473611949922,0.0004750691706247,0.99350214,7.325473611949922,2.62942904895146,3.001890082243289,2.072325292094601,1.6227261819137275,0.0004750691706247,0.0004468141106493,0.0003297685935802,0.0003239589438517,0.0002038006079471,False,0.9256432392419852,False,False,False,7.325473611949922
tess2020294194027-s0031-0000000004672985-0198-s_lc.fits,4672985,31,slow,0.9256432392419852,0.0009629776748888,0.4219681,0.9256432392419852,0.1048731787680902,0.3735597680824862,0.6934211509688475,0.0572885485835672,0.0009629776748888,0.0008354775304025,0.0007085235919621,0.000653526112255,0.0006460124642977,False,0.9256432392419852,True,False,False,0.9256432392419852
tess2020294194027-s0031-0000000029960110-0198-a_fast-lc.fits,29960110,31,fast,2.57616572878449,0.0152563931686387,1.32077813,2.57616572878449,2.216853312740047,1.8877366654079943,3.001901061532241,4.054941779870635,0.0152563931686387,0.0110027182521167,0.0095296259120759,0.008272606283696,0.0059978818521402,False,11.222418771337248,False,False,False,2.57616572878449
tess2020294194027-s0031-0000000029960110-0198-s_lc.fits,29960110,31,slow,9.518773156523148,0.0127622153558051,0.56110322,9.518773156523148,5.686947119185104,4.188272849743576,1.242162550656501,0.497907604581425,0.0127622153558051,0.0085640891243822,0.0028267782538197,0.0019268237675203,0.0016905865220655,False,11.222418771337248,False,False,False,9.518773156523148
tess2020294194027-s0031-0000000035857242-0198-a_fast-lc.fits,35857242,31,fast,1.8333117425594176,0.0061848071834016,1.31564021,1.8333117425594176,0.6044670824143027,0.4551666466740556,0.5182405383614604,0.905930351088376,0.0061848071834016,0.0047303406923659,0.0043704980588562,0.0042929231421528,0.0042709569124126,False,1.818269532201775,True,False,False,1.8333117425594176
tess2020294194027-s0031-0000000035857242-0198-s_lc.fits,35857242,31,slow,1.8071350222088385,0.029717038899074,0.58291852,1.8071350222088385,0.6044243965089563,0.905867370906026,0.4551342565738823,0.5203244598479084,0.029717038899074,0.0281381032292874,0.027448844466075,0.025520012162385,0.0235503765301872,False,1.818269532201775,True,False,False,1.8071350222088385
tess2020294194027-s0031-0000000122612091-0198-a_fast-lc.fits,122612091,31,fast,1.102245839097438,0.0129323386688945,0.79457283,1.102245839097438,2.2168362862994653,0.7377246085550149,0.5543851488152151,0.3692453759281709,0.0129323386688945,0.0127079020745831,0.0114892585231142,0.0105140695296155,0.0085301261209057,False,2.2008170474678472,False,False,True,2.2168362862994653
